fund_id,company_name,fund_name_raw,fund_name_normalized,fund_code,management_company,asset_type_l1,asset_type_l2,investment_region,investment_target,risk_grade,risk_grade_text,benchmark,volatility,inception_date,inception_status,inception_scheduled_date,currency_hedge,fund_structure,tdf_vintage,bond_duration_bucket,source_doc_id,source_page,source_text
FUND000011,흥국자산운용,흥국퇴직연금멀티크레딧증권자투자신탁 [채권],흥국퇴직연금멀티크레딧증권자투자신탁,AP577,흥국자산운용 주식회사,채권형,국내채권,국내,국내 채권 및 기업어음에 투자하는 모투자신탁,5,5등급(낮은 위험),KIS 중단기지수 1-2Y*100%,,2014-03-09,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형 자투자신탁,,1-2년,DOC000011,1|2|9|20|23|36|38,[p.1] 흥국퇴직연금멀티크레딧증권자투자신탁 [채권]; 작성기준일 2025-09-29; 효력발생일 2025-11-05; 5등급(낮은 위험) | [p.2] 펀드코드 AP577 | [전략] 국내 채권 및 기업어음; 비교지수 KIS 중단기지수 1-2Y*100% | [성과] 최초설정일 2014-03-09
FUND000012,유진자산운용,유진챔피언단기채증권자투자신탁 (채권),유진챔피언단기채증권자투자신탁,AX753,유진자산운용㈜,채권형,단기채권,국내,단기사채 및 국내 어음(A2- 이상)에 투자하는 모투자신탁,6,6등급(매우 낮은 위험),MK 머니마켓지수*100%,,2014-12-04,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형 자투자신탁,,0.5년 내외,DOC000012,1|4|11|23|30|51|54,[p.1] 유진챔피언단기채증권자투자신탁(채권); 작성기준일 2025-12-31; 효력발생일 2026-01-13; 6등급(매우 낮은 위험) | [p.11] 펀드코드 AX753 | [p.23] 단기사채 및 국내 어음(A2- 이상); 비교지수 MK 머니마켓지수 100%; 평균 듀레이션 0.5년 내외 | [p.51] 최초설정일 2014-12-04
FUND000013,디에스자산운용,디에스 Maestro 증권자투자신탁 [주식],디에스Maestro증권자투자신탁,E4451,디에스자산운용㈜,주식형,국내주식,국내,구조적 매출 성장 산업 및 산업 내 경쟁력이 높은 국내 상장기업,2,2등급(높은 위험),KOSPI*90% + CALL금리*10%,,2023-07-12,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형 자투자신탁,,,DOC000013,1|10|20|21|25|50|54,[p.1] 디에스 Maestro 증권자투자신탁[주식]; 작성기준일 2025-07-11; 효력발생일 2025-07-30; 2등급(높은 위험) | [p.10] 펀드코드 E4451 | [p.20-21] 국내 상장주식; 구조적 매출 성장 산업 및 경쟁력 높은 기업; 비교지수 KOSPI 90% + CALL금리 10% | [p.50] 최초설정일 2023-07-12
FUND000014,트러스톤자산운용,트러스톤 칭기스칸 증권투자신탁 [주식],트러스톤칭기스칸증권투자신탁,84972,트러스톤자산운용㈜,주식형,국내주식,국내,국내 시장에 상장·등록된 주식,2,2등급(높은 위험),KOSPI*100%,,2008-06-26,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형,,,DOC000014,1|8|17|18|37|40,[p.1] 트러스톤칭기스칸증권투자신탁[주식]; 작성기준일 2025-07-03; 효력발생일 2025-07-10; 2등급(높은 위험) | [p.8] 펀드코드 84972 | [p.17-18] 국내 상장·등록 주식; 비교지수 KOSPI 100% | [p.37] 최초설정일 2008-06-26
FUND000015,스팍스자산운용,스팍스한국엄선투자증권자투자신탁 [주식],스팍스한국엄선투자증권자투자신탁,AY119,스팍스자산운용㈜,주식형,국내주식,국내,펀더멘털 바텀업 리서치에 기반한 국내 신가치주,2,2등급(높은 위험),KOSPI*100%,,2015-01-16,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형 자투자신탁,,,DOC000015,1|9|17|22|24|27|48|51,[p.1] 스팍스한국엄선투자증권자투자신탁[주식]; 작성기준일 2025-01-16; 효력발생일 2025-02-07; 2등급(높은 위험) | [p.9] 펀드코드 AY119 | [p.22-24] 국내 신가치주; 비교지수 KOSPI 100% | [p.27] 97.5% VaR 43.14% | [연혁] 최초설정일 2015-01-16
FUND000016,VIP자산운용,VIP한국형가치투자증권자투자신탁[주식],VIP한국형가치투자증권자투자신탁,E1728,㈜브이아이피자산운용,주식형,국내주식,국내,국내 가치주 및 안정적인 이익성장이 예상되는 종목에 투자하는 모투자신탁,2,2등급(높은 위험),,,,NOT_ESTABLISHED,2023-04-03,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형|성과연동운용보수형,,,DOC000016,1|5|6|11|13|21|22|24,[p.1] VIP한국형가치투자증권자투자신탁[주식]; 작성기준일 2022-12-31; 효력발생일 2023-03-31; 2등급(높은 위험) | [p.5] 국내 주식형 모투자신탁에 90% 이상 투자; 국내 가치주 및 안정적 이익성장 종목 | [p.11] 펀드코드 E1728; 성과연동운용보수형 | [p.13] 최초설정 예정일 2023-04-03 | [p.6] 신규펀드로 투자실적 해당사항 없음 | [p.11|13] 신규펀드이며 2023-04-03은 최초설정 예정일로 기재됨
FUND000017,에셋플러스자산운용,에셋플러스 코리아 리치투게더 연금 증권 자투자신탁 1호(주식),에셋플러스코리아리치투게더연금증권자투자신탁1호,AH938,에셋플러스자산운용주식회사,주식형,국내주식,국내,국내 일등기업 중심의 장기 가치투자 모투자신탁,2,2등급(높은 위험),KOSPI*95%+CALL*5%,,2013-05-21,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형|연금저축,,,DOC000017,1|3|4|8|15|16|30|32,[p.1] 작성기준일 2025-05-20; 효력발생일 2026-01-13; 2등급(높은 위험) | [p.3] 펀드코드 AH938; 국내 일등기업 중심 장기투자 | [p.16] 비교지수 KOSPI 95%+CALL 5% | [p.30] 설정일 이후 기간 2013-05-21~2025-05-20
FUND000018,브이아이자산운용,브이아이 퇴직연금 증권 자투자신탁 1호[채권],브이아이퇴직연금증권자투자신탁1호,63421,브이아이자산운용(주),채권형,국내채권,국내,국공채 및 우량채권 중심 채권형 모투자신탁,5,5등급(낮은 위험),H-K-R 채권지수*100%,,2006-12-26,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형|퇴직연금,,비교지수 듀레이션 ±0.5년,DOC000018,1|5|6|9|10|15|23|24|41|42,"[p.1,5] 작성기준일 2021-02-01; 효력발생일 2021-02-18; 5등급 | [p.9] 펀드코드 63421 | [p.10] 최초설정 2006-12-26 | [p.23] 비교지수 H-K-R 채권지수 100% | [p.24] 비교지수 듀레이션 ±0.5년"
FUND000019,한국투자밸류자산운용,한국밸류 10년투자 연금 증권전환형자투자신탁 1호(채권),한국밸류10년투자연금증권전환형자투자신탁1호,A3066,한국투자밸류자산운용주식회사,채권형,국내채권,국내,국공채 및 우량회사채 중심 국내채권 모투자신탁,5,5등급(낮은 위험),매경BP종합*90%+MMI Call*10%,,2011-07-19,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|전환형|종류형|모자형|연금저축,,,DOC000019,1|4|10|11|15|19|35|37,[p.1] 작성기준일 2025-01-15; 효력발생일 2025-03-07; 5등급 | [p.10] 펀드코드 A3066 | [p.15] 국내채권 모투자신탁 90% 이상 | [p.19] 비교지수 매경BP종합 90%+MMI Call 10% | [p.35] 설정일 2011-07-19
FUND000020,코레이트자산운용,코레이트셀렉트단기채증권투자신탁[채권],코레이트셀렉트단기채증권투자신탁,BZ691,코레이트자산운용㈜,채권형,단기채권,국내,A2- 이상 전자단기사채·기업어음 및 A- 이상 회사채,6,6등급(매우 낮은 위험),KOFIA-KIS-한경 CP*60%+KOBI120*30%+CALL*10%,,2017-12-13,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형,,단기채권,DOC000020,1|7|8|11|18|19|40|43,[p.1] 작성기준일 2024-12-31; 효력발생일 2025-02-12; 6등급 | [p.7] 펀드코드 BZ691; 단기채권 전략 | [p.19] 비교지수 | [p.40] 최초설정 2017-12-13
FUND000021,KB자산운용,KB스타 중기 국공채 증권 자투자신탁(채권),KB스타중기국공채증권자투자신탁,41371,KB자산운용주식회사,채권형,국내채권,국내,국채·지방채·특수채 및 우량회사채 중심 국내채권 모투자신탁,5,5등급(낮은 위험),KIS 국채 3~5년 지수*100%,2.06,2003-12-31,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|모자형|종류형,,3~5년,DOC000021,1|4|7|14|18|35|36,"[p.1] 작성기준일 2024-12-31; 효력발생일 2025-02-11; 5등급; 펀드코드 41371 | [p.4] 최초설정일 2003-12-31; 변동성 2.06% | [p.14,18] 국내 국공채 중심; 비교지수 KIS 국채 3~5년"
FUND000022,KB자산운용,KB 스타 단기 국공채 증권 자투자신탁(채권),KB스타단기국공채증권자투자신탁,B5517,KB자산운용주식회사,채권형,국내단기채권,국내,단기 국공채 및 우량채권 중심 국내채권 모투자신탁,6,6등급(매우 낮은 위험),KIS 국채 0~1.5년 지수*100%,0.26,2015-08-20,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|모자형|종류형,,0~1.5년,DOC000023,1|5|9|37|38|39,[p.1] 작성기준일 2025-08-20; 효력발생일 2025-09-25; 6등급; 펀드코드 B5517 | [p.5] 최초설정일 2015-08-20; 변동성 0.26% | [p.38] 비교지수 KIS 국채 0~1.5년
FUND000023,KB자산운용,KB 장기국채 플러스 증권 자투자신탁(채권),KB장기국채플러스증권자투자신탁,BG607,KB자산운용주식회사,채권형,국내장기채권,국내,국채·지방채·특수채 및 우량회사채 중심 국내 장기채권 모투자신탁,4,4등급(보통 위험),KIS 장기국공채 지수(국공채 2년 이상의 종합지수)*100%,4.85,2016-09-07,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|모자형|종류형,,2년 이상,DOC000024,1|5|8|24|25|35|36|37,[p.1] 작성기준일 2025-09-07; 효력발생일 2025-10-30; 4등급; 펀드코드 BG607 | [p.5] 최초설정일 2016-09-07; 변동성 4.85% | [p.35] 비교지수 KIS 장기국공채 지수
FUND000024,KB자산운용,KB 그로스 포커스 증권 자투자신탁(주식),KB그로스포커스증권자투자신탁,35432,KB자산운용주식회사,주식형,국내주식,국내,성장 가능성이 높고 저평가된 국내주식,2,2등급(높은 위험),KOSPI 지수*90%+콜(KRW)*10%,22.18,2010-01-05,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|모자형|종류형,,,DOC000025,1|4|7|26|27|28|37|38|39,[p.1] 작성기준일 2025-11-04; 효력발생일 2025-11-26; 2등급; 펀드코드 35432 | [p.4] A 최초설정일 2010-01-05; 변동성 22.18% | [p.37] 비교지수 KOSPI 90%+콜 10%
FUND000025,KB자산운용,KB 스타 코스닥 150 인덱스 증권 자투자신탁(주식-파생형),KB스타코스닥150인덱스증권자투자신탁,BD844,KB자산운용주식회사,주식형,국내주식파생형,국내,코스닥150 지수 구성 주식 및 관련 파생상품,1,1등급(매우 높은 위험),코스닥150 지수*100%,21.98,2016-05-17,ESTABLISHED,,,투자신탁|증권(주식파생형)|개방형|추가형|모자형|종류형,,,DOC000026,1|5|9|28|29|38|39|40,[p.1] 작성기준일 2025-05-17; 효력발생일 2025-06-27; 1등급; 펀드코드 BD844 | [p.5] 최초설정일 2016-05-17; 변동성 21.98% | [p.38] 비교지수 코스닥150 지수
FUND000026,KB자산운용,KB 코리아 밸류업 액티브 증권 자투자신탁(주식),KB코리아밸류업액티브증권자투자신탁,EG176,KB자산운용주식회사,주식형,국내주식,국내,주주환원 및 기업가치 상승이 기대되는 국내주식,2,2등급(높은 위험),코리아 밸류업 지수*100%,24.28,2024-11-05,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|모자형|종류형,,,DOC000028,1|5|9|28|29|38|39|40,[p.1] 작성기준일 2025-11-05; 효력발생일 2025-11-26; 2등급; 펀드코드 EG176 | [p.5] 최초설정일 2024-11-05; 변동성 24.28% | [p.38] 비교지수 코리아 밸류업 지수
FUND000027,NH-Amundi자산운용,NH-Amundi 국채 10년 인덱스 증권자투자신탁[채권],NH-Amundi국채10년인덱스증권자투자신탁,AT974,NH-Amundi자산운용주식회사,채권형,국내장기국채인덱스,국내,10년 국채선물 바스켓 지수를 추종하는 국내 장기 국채 모투자신탁,4,4등급(보통 위험),KIS 10년 국채선물바스켓지수*95%+Call Rate*5%,3.91,2014-09-01,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|모자형|종류형|인덱스,,10년,DOC000029,1|2|6|20|53|54|56,"[p.1] 작성기준일 2025-09-01; 효력발생일 2025-11-06; 4등급 | [p.2] 펀드코드 AT974 | [p.6] 설정일 2014-09-01; 변동성 3.91% | [p.20,54] 비교지수 KIS 10년 국채선물바스켓 95%+Call 5%"
FUND000028,NH-Amundi자산운용,NH-Amundi USD 초단기채권 증권자투자신탁(UH)[채권],NH-AmundiUSD초단기채권증권자투자신탁UH,CJ517,NH-Amundi자산운용주식회사,채권형,해외초단기채권,해외,미국 달러화 표시 채권을 주된 투자대상으로 하는 모투자신탁,4,4등급(보통 위험),,7.77,2019-01-25,ESTABLISHED,,환헤지 미실시(UH),투자신탁|증권(채권형)|개방형|추가형|종류형|모자형,,초단기,DOC000030,1|2|5|6|54|55|57,"[p.1] 작성기준일 2025-01-25; 효력발생일 2025-06-18; 4등급 | [p.2] 펀드코드 CJ517 | [p.5] 미국 달러화 표시 채권 모투자신탁 80% 이상 | [p.6,54-55] 설정일 2019-01-25; 설정일 이후 변동성 7.77%; 비교지수 해당사항 없음"
FUND000029,NH-Amundi자산운용,NH-Amundi 하나로 단기채 증권투자신탁[채권],NH-Amundi하나로단기채증권투자신탁,C8459,NH-Amundi자산운용주식회사,채권형,국내단기채권,국내,"만기가 짧은 국내채권, 전자단기사채 및 CP",6,6등급(매우 낮은 위험),KIS 단기지수(3M-1Y)*90%+Call Rate*10%,0.32,2018-09-14,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형,,단기,DOC000031,1|2|5|6|49|50|52,"[p.1] 작성기준일 2025-09-14; 효력발생일 2025-11-20; 6등급 | [p.2] 펀드코드 C8459 | [p.5] 국내 단기채권·전자단기사채·CP 투자 | [p.6,49-50] 설정일 2018-09-14; 설정일 이후 변동성 0.32%; 비교지수 KIS 단기지수 90%+Call 10%"
FUND000030,NH-Amundi자산운용,NH-Amundi 필승 코리아 증권투자신탁[주식],NH-Amundi필승코리아증권투자신탁,C9946,NH-Amundi자산운용주식회사,주식형,국내주식,국내,기술혁신성과 지속 가능한 사업모델 및 글로벌 경쟁력을 갖춘 국내 기업 주식,2,2등급(높은 위험),KOSPI*100%,22.34,2019-08-14,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형,,,DOC000032,1|2|5|6|51|52|54,"[p.1] 작성기준일 2025-08-14; 효력발생일 2025-10-21; 2등급 | [p.2] 펀드코드 C9946 | [p.5] 국내 주식 60% 이상 투자 | [p.6,51-52] 설정일 2019-08-14; 설정일 이후 변동성 22.34%; 참조지수 KOSPI"
FUND000031,다올자산운용,다올전단채증권투자신탁[채권],다올전단채증권투자신탁,B9930,다올자산운용주식회사,채권형,국내초단기채권,국내,국내 단기채권·전자단기사채·기업어음,6,6등급(매우 낮은 위험),국고채 1년*60%+Call*40%,1.54,2016-01-13,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형,,초단기(듀레이션 0.4년 내외),DOC000033,1|5|6|10|19|37|39,"[p.1] 작성기준일 2025-01-17; 효력발생일 2025-01-24; 6등급 | [p.10] 펀드코드 B9930; 최초설정일 2016-01-13 | [p.5,19] 국내 단기채권·전단채·CP; 비교지수 국고채 1년 60%+Call 40% | [p.37] 설정일 이후 변동성 1.54%"
FUND000032,신영자산운용,신영밸류고배당증권자투자신탁(주식),신영밸류고배당증권자투자신탁,67646,신영자산운용주식회사,주식형,국내고배당주식,국내,고배당주 중심 국내 주식형 모투자신탁,2,2등급(높은 위험),KOSPI*90%+CD91일물*10%,15.4,2003-05-26,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형,,,DOC000034,1|3|4|9|11|42|43|44|46,"[p.1] 작성기준일 2025-05-25; 효력발생일 2025-11-06; 2등급 | [p.3,9] 펀드코드 67646; 국내 고배당주 모투자신탁 | [p.4] C 최초설정일 2003-05-26; 설정일 이후 변동성 15.40%; 비교지수 KOSPI 90%+CD91 10%"
FUND000033,신영자산운용,신영마라톤증권자투자신탁(주식),신영마라톤증권자투자신탁,52803,신영자산운용주식회사,주식형,국내가치주식,국내,저평가된 국내 가치주 중심 주식형 모투자신탁에 90% 이상 투자,2,2등급(높은 위험),KOSPI*90%+CD91일물*10%,17.24,2002-04-25,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형,,,DOC000035,1|3|4|9|11|40|41|42|44,"[p.1] 작성기준일 2025-05-24; 효력발생일 2025-06-11; 2등급 | [p.3] 요약 작성기준일 2025-04-24(표지와 상충) | [p.3,9] 펀드코드 52803; 국내 저평가 가치주 모투자신탁 90% 이상 | [p.4] C 최초설정일 2002-04-25; 설정일 이후 변동성 17.24%; 비교지수 KOSPI 90%+CD91 10%"
FUND000034,하나자산운용,하나파워e단기채증권자투자신탁[채권],하나파워e단기채증권자투자신탁,67747,하나자산운용 주식회사,채권형,국내단기채권,국내,국내 채권 60% 이상과 어음 등에 투자하여 안정적인 이자수익 추구,6,6등급(매우 낮은 위험),KIS채권평가 CD지수 100%,0.27,2007-04-17,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형,,단기,DOC000036,1|4|9|11|16|23|49|51,"[p.1] 작성기준일 2025-05-16; 효력발생일 2025-10-24; 6등급(매우 낮은 위험) | [p.4,11,16,23] 펀드코드 67747; 국내 채권 60% 이상과 어음 등에 투자하여 안정적인 이자수익 추구; 비교지수 KIS채권평가 CD지수 100% | [p.49] 설정일 이후 변동성 0.27%"
FUND000035,하나자산운용,하나IT코리아증권자투자신탁(제1호)[주식],하나IT코리아증권자투자신탁,68414,하나자산운용 주식회사,주식형,국내IT주식,국내,국내 IT 관련 기업 주식에 주로 투자하는 모투자신탁에 투자,2,2등급(높은 위험),KOSPI 100%,22.03,2007-05-03,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|전환형|모자형,,,DOC000037,1|5|11|13|26|27|56|58,"[p.1] 작성기준일 2025-06-05; 효력발생일 2025-06-27; 2등급(높은 위험) | [p.5,13,26,27] 펀드코드 68414; 국내 IT 관련 기업 주식에 주로 투자하는 모투자신탁에 투자; 비교지수 KOSPI 100% | [p.56] 설정일 이후 변동성 22.03%"
FUND000036,한화자산운용,한화내일받는단기국공채증권 자투자신탁(채권),한화내일받는단기국공채증권자투자신탁,55138,한화자산운용주식회사,채권형,국내단기국공채,국내,국내 국공채 60% 이상 및 국내 채권 중심 투자,6,6등급(매우 낮은 위험),KAP Money Market Index 100%,0.73,2006-03-06,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형|전환형,,단기,DOC000038,1|6|12|14|19|62|63|65,"[p.1] 작성기준일 2025-09-25; 효력발생일 2025-10-15; 6등급(매우 낮은 위험) | [p.6,12,19,62-65] 펀드코드 55138; 국내 국공채 60% 이상 및 국내 채권 중심 투자; 비교지수 KAP Money Market Index 100%; 설정일 이후 변동성 0.73%"
