fund_id,class_id,aum_type,aum_value_raw,aum_value_krw,aum_unit,as_of_date,source_doc_id,source_page,source_text
FUND000070,,자산총액,"25,142백만원",25142000000,백만원,2025-03-31,DOC000072,50,"[p.50] 자산구성 현황; 합계 25,142백만원"
FUND000071,,자산총액,"1,036,2백만원",10362000000,백만원,2025-12-31,DOC000073,49,"[p.49] 자산구성 현황; 합계 1,036,2백만원"
FUND000072,,자산총액,"6,380백만원",6380000000,백만원,2024-12-31,DOC000074,35,"[p.35] 자산구성 현황; 합계 6,380백만원"
FUND000073,,자산총액,"5,153백만원",5153000000,백만원,2025-09-30,DOC000075,47|48,"[p.47|48] 자산구성 현황; 합계 5,153백만원"
FUND000074,,자산총액,"133,126백만원",133126000000,백만원,2025-09-30,DOC000076,39,"[p.39] 자산구성 현황; 합계 133,126백만원"
FUND000075,,자산총액,"1,101백만원",1101000000,백만원,2025-06-30,DOC000077,40,"[p.40] 자산구성 현황; 합계 1,101백만원"
FUND000076,,자산총액,"29,205.0억원",2920500000000,억원,2025-10-26,DOC000078,54,"[p.54] 자투자신탁 자산구성 현황; 자산총액 29,205.0억원 (모투자신탁 39,773.0억원은 제외)"
FUND000077,,자산총액,"14,061.9억원",1406190000000,억원,2025-10-21,DOC000079,47,"[p.47] 집합투자기구 자산현황; 자산총액 14,061.9억원"
FUND000078,,자산총액,205.7억원,20570000000,억원,2025-01-16,DOC000080,56,[p.56] 집합투자기구 자산현황; 자산총액 205.7억원
FUND000079,,자산총액,"31,877.6억원",3187760000000,억원,2025-09-15,DOC000081,47,"[p.47] 집합투자기구 자산현황; 자산총액 31,877.6억원"
FUND000080,,자산총액,6.3억원,630000000,억원,2025-02-22,DOC000082,33,[p.33] 자투자신탁 자산 구성 현황; 자산총액 6.3억원 (모투자신탁 63.9억원은 제외)
FUND000081,,자산총액,762.9억원,76290000000,억원,2025-02-26,DOC000083,43,"[p.43] 자투자신탁 자산 구성 현황; 자산총액 762.9억원 (모투자신탁 1,102.8억원은 제외)"
FUND000082,,자산총액,430.3억원,43030000000,억원,2024-12-31,DOC000084,40,"[p.40] 자투자신탁 자산 구성 현황; 자산총액 430.3억원 (모투자신탁 1,750.7억원은 제외)"
FUND000083,,자산총액,"24,665.2억원",2466520000000,억원,2024-12-12,DOC000085,42,"[p.42] 집합투자기구 자산 구성 현황; 자산총액 24,665.2억원"
FUND000084,,자산총액,195.2억원,19520000000,억원,2025-04-08,DOC000086,52,[p.52] 자투자신탁 자산 구성 현황; 자산총액 195.2억원 (모투자신탁 186.7억원은 제외)
FUND000085,,자산총액,"1,107.1억원",110710000000,억원,2025-05-22,DOC000087,46,"[p.46] 자투자신탁 자산 구성 현황; 자산총액 1,107.1억원 (모투자신탁 1,124.1억원은 제외)"
FUND000086,,자산총액,223억원,22300000000,억원,2025-02-28,DOC000088,53,[p.53] 집합투자기구 자산 구성 현황; 자산총액 223억원
FUND000087,,자산총액,506억원,50600000000,억원,2025-02-28,DOC000089,59,[p.59] 자투자신탁 자산 구성 현황; 자산총액 506억원
FUND000088,,자산총액,"48,302억원",4830200000000,억원,2025-11-28,DOC000090,64,"[p.64] 자투자신탁 자산 구성 현황; 자산총액 48,302억원"
FUND000089,,자산총액,"2,497억원",249700000000,억원,2025-02-28,DOC000091,54,"[p.54] 집합투자기구 자산 구성 현황; 자산총액 2,497억원"
FUND000090,,자산총액,577억원,57700000000,억원,2025-08-29,DOC000092,64,[p.64] 자투자신탁 자산 구성 현황; 자산총액 577억원
FUND000091,,자산총액,319억원,31900000000,억원,2025-10-31,DOC000093,57,[p.57] 집합투자기구 자산 구성 현황; 자산총액 319억원
FUND000092,,자산총액,"1,845억원",184500000000,억원,2025-02-28,DOC000094,47,"[p.47] 집합투자기구 자산 구성 현황; 자산총액 1,845억원"
